Date,Open,High,Low,Close,Volume
11-Nov-16,103.62,104.47,102.62,103.68,3833663
10-Nov-16,108.08,108.26,101.66,104.08,7301854
9-Nov-16,105.55,108.05,104.52,107.86,3650448
8-Nov-16,108.68,109.16,107.93,108.39,2453769
7-Nov-16,107.66,108.97,107.37,108.66,2729881
4-Nov-16,105.85,107.09,105.60,106.20,2587537
3-Nov-16,106.54,108.16,106.48,107.17,3666957
2-Nov-16,106.85,106.95,105.57,105.89,2140271
1-Nov-16,107.79,107.97,106.04,106.87,1951512
31-Oct-16,108.02,108.29,107.04,107.51,1678352
28-Oct-16,107.08,108.32,107.05,107.60,1931143
27-Oct-16,108.47,108.66,106.69,107.07,2393908
26-Oct-16,108.74,108.82,107.59,107.97,1623670
25-Oct-16,110.76,110.77,108.95,109.03,1713152
24-Oct-16,109.63,111.09,109.35,110.81,2014943
21-Oct-16,108.51,109.17,107.63,109.03,1838305
20-Oct-16,108.41,109.38,107.55,109.03,1820833
19-Oct-16,108.81,108.89,108.15,108.39,1282176
18-Oct-16,108.44,108.82,108.01,108.42,1318965
17-Oct-16,108.00,108.28,107.39,107.49,1136503
14-Oct-16,108.19,109.10,107.82,107.84,1968363
13-Oct-16,107.13,108.13,106.53,108.01,1588510
12-Oct-16,108.42,108.42,106.82,108.05,1464448
11-Oct-16,109.00,109.20,107.04,107.37,1970947
10-Oct-16,109.15,110.13,109.15,109.24,1581880
7-Oct-16,109.07,109.07,107.60,108.64,1412707
6-Oct-16,108.72,109.27,108.14,108.56,1590828
5-Oct-16,108.57,109.33,108.32,108.80,1854957
4-Oct-16,108.52,108.94,107.85,108.39,1394021
3-Oct-16,108.41,108.96,108.16,108.45,1553774
30-Sep-16,108.15,108.84,107.44,108.54,3717559
29-Sep-16,109.50,109.57,107.55,107.80,2436886
28-Sep-16,109.48,109.68,108.82,109.49,2740322
27-Sep-16,106.99,109.76,106.74,109.70,3531392
26-Sep-16,106.91,107.57,106.53,107.26,2342661
23-Sep-16,107.21,108.00,106.79,107.47,3087239
22-Sep-16,107.46,108.50,107.01,107.92,3960346
21-Sep-16,106.54,108.22,105.80,107.78,8764529
20-Sep-16,100.16,100.90,99.72,100.62,4104871
19-Sep-16,99.21,100.21,99.02,99.68,3307490
16-Sep-16,99.26,99.67,98.32,98.93,3700615
15-Sep-16,98.84,100.04,98.49,99.62,3094979
14-Sep-16,98.95,99.55,98.49,98.79,2028975
13-Sep-16,99.92,99.92,97.87,98.77,3797564
12-Sep-16,99.18,100.50,99.00,100.32,2882638
9-Sep-16,100.97,101.28,99.38,99.38,3379338
8-Sep-16,102.77,102.97,101.62,101.88,2110629
7-Sep-16,103.47,103.51,102.58,103.00,1386851
6-Sep-16,103.33,103.74,103.09,103.50,1585082
2-Sep-16,103.49,104.16,102.94,103.57,1715379
1-Sep-16,102.23,102.97,101.81,102.90,2006579
31-Aug-16,101.66,102.60,101.51,102.31,1773004
30-Aug-16,102.09,102.39,101.51,102.00,1325120
29-Aug-16,101.85,102.68,101.40,102.30,1161560
26-Aug-16,101.68,102.75,101.08,102.06,1834580
25-Aug-16,101.15,101.79,100.91,101.69,1174109
24-Aug-16,101.00,101.52,100.69,101.14,1425470
23-Aug-16,100.46,101.28,100.24,101.14,1008572
22-Aug-16,100.32,100.68,99.92,100.24,1000917
19-Aug-16,100.31,100.60,99.72,100.32,1587902
18-Aug-16,99.60,100.93,99.60,100.67,2027030
17-Aug-16,100.65,100.81,99.45,99.70,2123885
16-Aug-16,100.52,100.97,99.91,100.60,1649250
15-Aug-16,101.38,101.63,100.88,100.93,1697642
12-Aug-16,100.98,101.20,100.06,101.04,1713285
11-Aug-16,100.85,101.93,100.59,101.67,2259559
10-Aug-16,99.13,100.99,99.09,100.62,2670193
9-Aug-16,98.71,99.22,98.47,98.87,1001894
8-Aug-16,98.86,98.95,98.30,98.49,1107226
5-Aug-16,97.36,99.08,97.15,99.04,1932246
4-Aug-16,96.50,97.28,96.19,97.09,1282611
3-Aug-16,96.06,96.68,95.65,96.67,2071189
2-Aug-16,97.38,97.63,95.42,96.05,2352675
1-Aug-16,97.75,98.16,97.22,97.72,1474723
29-Jul-16,98.40,98.55,97.23,97.86,1786571
28-Jul-16,97.92,98.61,97.57,98.44,1665971
27-Jul-16,97.59,98.41,97.39,97.93,2312850
26-Jul-16,97.81,98.42,97.00,97.91,2196454
25-Jul-16,97.75,97.75,96.88,97.32,1815063
22-Jul-16,96.71,98.24,96.09,98.06,2101787
21-Jul-16,98.12,98.42,96.08,96.34,2579487
20-Jul-16,98.16,98.89,97.85,98.40,1553788
19-Jul-16,97.11,98.17,97.00,97.79,1796969
18-Jul-16,97.74,98.53,97.58,97.79,1544201
15-Jul-16,98.39,98.40,97.50,97.83,1530467
14-Jul-16,98.00,98.14,97.46,97.70,1402541
13-Jul-16,97.97,98.38,97.34,97.34,2125797
12-Jul-16,97.25,97.79,96.70,97.54,2054394
11-Jul-16,96.98,97.55,96.81,97.14,1732028
8-Jul-16,95.93,96.86,95.34,96.79,2023889
7-Jul-16,95.01,95.51,94.54,95.14,1576636
6-Jul-16,94.53,95.48,94.06,95.18,1490514
5-Jul-16,94.55,95.61,94.15,94.73,2314559
1-Jul-16,95.04,97.14,95.00,95.32,3001885
30-Jun-16,94.48,95.88,94.13,95.79,3544671
29-Jun-16,92.91,94.62,92.68,94.39,2965452
28-Jun-16,91.37,92.65,91.36,92.46,3319217
27-Jun-16,91.36,92.03,90.35,90.85,3930483
24-Jun-16,92.39,94.35,92.04,92.20,4329088
23-Jun-16,94.73,96.28,94.31,96.21,3803197
22-Jun-16,95.53,96.50,93.86,94.01,10280508
21-Jun-16,98.64,99.92,98.13,99.72,6505094
20-Jun-16,97.10,98.75,96.77,97.99,4310609
17-Jun-16,97.25,97.39,95.36,95.58,4541519
16-Jun-16,96.50,97.30,95.54,97.19,1952549
15-Jun-16,97.01,97.83,96.90,97.02,2270369
14-Jun-16,96.53,97.26,96.32,96.98,1889775
13-Jun-16,96.87,98.08,96.70,96.96,2291495
10-Jun-16,96.89,97.87,96.75,97.09,1863823
9-Jun-16,98.36,98.70,97.85,98.07,1609440
8-Jun-16,98.45,98.91,97.99,98.68,2078746
7-Jun-16,99.51,99.67,98.47,98.52,2143943
6-Jun-16,99.16,99.49,98.47,99.12,1395755
3-Jun-16,99.52,99.52,97.89,98.70,2417036
2-Jun-16,99.98,100.17,99.17,100.17,1761940
1-Jun-16,99.24,100.40,98.93,100.04,1663280
31-May-16,100.14,100.56,99.35,99.47,3480452
27-May-16,99.52,100.14,98.90,100.14,1603635
26-May-16,99.81,100.32,99.07,99.37,1942901
25-May-16,99.91,99.99,98.80,99.61,1954455
24-May-16,97.18,99.70,96.97,99.63,3011336
23-May-16,96.71,97.42,96.50,96.62,1088541
20-May-16,96.10,97.12,95.86,96.88,2217891
19-May-16,96.41,96.94,95.25,95.88,1981657
18-May-16,95.78,97.43,95.50,96.70,2006810
17-May-16,96.81,97.35,95.75,95.93,3228449
16-May-16,95.91,97.76,95.91,97.23,1917623
13-May-16,95.62,97.21,95.37,95.97,2212131
12-May-16,96.31,96.98,94.93,95.96,1198115
11-May-16,96.26,97.26,96.04,96.10,1562692
10-May-16,94.82,96.59,94.75,96.52,1808374
9-May-16,94.00,95.19,93.87,94.61,1404660
6-May-16,93.13,94.40,92.57,94.30,1462343
5-May-16,93.10,94.22,92.92,93.50,1890230
4-May-16,93.18,93.59,92.55,92.94,1706812
3-May-16,94.07,94.39,93.09,93.66,1794271
2-May-16,94.29,94.99,93.81,94.90,2329557
29-Apr-16,92.89,94.58,92.32,94.22,3161169
28-Apr-16,94.80,95.74,93.15,93.64,3497651
27-Apr-16,95.72,95.99,94.53,95.64,2081229
26-Apr-16,95.96,96.30,95.22,96.15,1416972
25-Apr-16,94.38,96.04,94.22,95.80,2045352
22-Apr-16,96.17,96.24,93.76,94.79,3788254
21-Apr-16,96.21,97.14,95.76,96.37,2066874
20-Apr-16,97.00,97.00,95.76,96.33,2711116
19-Apr-16,97.00,97.69,95.13,96.52,2507115
18-Apr-16,94.75,96.58,94.59,96.55,2172716
15-Apr-16,94.66,95.22,94.16,95.16,2183677
14-Apr-16,94.34,94.71,94.01,94.44,1764045
13-Apr-16,93.82,94.60,93.69,94.53,2054010
12-Apr-16,93.18,93.67,92.22,93.42,2077407
11-Apr-16,94.43,94.81,92.84,92.95,2161182
8-Apr-16,94.48,94.50,93.39,94.07,2063146
7-Apr-16,94.72,94.89,93.19,93.78,2335578
6-Apr-16,94.07,95.49,93.97,95.40,2702889
5-Apr-16,93.32,94.77,93.22,94.17,2447727
4-Apr-16,95.42,96.28,94.23,94.50,2394455
1-Apr-16,93.33,95.47,92.77,95.16,3980008
31-Mar-16,93.76,94.58,93.23,93.80,6556403
30-Mar-16,93.63,94.48,92.98,93.78,6792295
29-Mar-16,91.79,93.44,91.76,93.22,4248626
28-Mar-16,92.68,92.83,91.90,92.40,2281578
24-Mar-16,91.50,92.74,91.25,92.52,3260637
23-Mar-16,92.62,92.94,91.93,92.16,2754370
22-Mar-16,92.06,93.42,92.05,92.56,4470500
21-Mar-16,92.69,93.27,91.33,92.50,4652037
18-Mar-16,98.00,98.00,93.11,93.42,12516681
17-Mar-16,88.66,90.21,87.25,89.96,6357164
16-Mar-16,86.70,88.48,86.40,88.17,3365937
15-Mar-16,86.40,87.19,86.22,86.83,2909597
14-Mar-16,86.11,87.75,85.84,87.01,3752701
11-Mar-16,85.20,86.23,84.63,86.00,2918043
10-Mar-16,85.06,86.52,83.59,84.85,2968680
9-Mar-16,84.88,85.29,83.25,85.27,2490147
8-Mar-16,84.25,85.95,83.17,84.35,3227711
7-Mar-16,85.58,85.96,84.05,85.11,3121338
4-Mar-16,87.93,87.94,85.58,86.18,2999123
3-Mar-16,88.50,88.50,85.85,87.21,3082086
2-Mar-16,88.12,88.55,87.26,88.39,2863529
1-Mar-16,85.92,88.40,84.59,88.37,3603947
29-Feb-16,86.01,86.19,85.09,85.15,3156400
26-Feb-16,87.11,87.48,84.10,86.60,3722020
25-Feb-16,84.76,86.72,84.15,86.68,3274214
24-Feb-16,82.22,83.53,80.93,83.42,2664444
23-Feb-16,83.41,84.49,82.86,83.07,2947963
22-Feb-16,82.09,84.16,82.05,83.80,3608935
19-Feb-16,80.32,80.94,79.51,80.87,3926632
18-Feb-16,82.30,82.82,80.14,80.53,3515594
17-Feb-16,79.40,82.07,78.54,81.85,4444043
16-Feb-16,77.13,79.20,77.13,78.88,4692928
12-Feb-16,75.99,77.36,75.40,76.67,4354904
11-Feb-16,74.04,75.53,73.58,74.94,4965850
10-Feb-16,74.99,77.62,73.90,75.53,6461281
9-Feb-16,74.76,77.19,73.04,73.85,6650767
8-Feb-16,77.40,78.33,71.27,74.94,12905745
5-Feb-16,85.50,85.50,77.83,79.20,10604630
4-Feb-16,87.82,87.97,85.78,86.36,3407163
3-Feb-16,88.91,89.25,86.67,87.99,3185670
2-Feb-16,88.71,89.02,87.64,87.95,3060785
1-Feb-16,88.16,90.24,87.90,89.61,2873859
29-Jan-16,85.55,89.13,85.12,89.13,4652542
28-Jan-16,85.54,85.74,82.70,84.52,5315530
27-Jan-16,87.27,87.83,84.51,84.85,3041851
26-Jan-16,87.26,87.58,85.47,86.89,2745685
25-Jan-16,88.39,89.26,86.63,86.77,3935556
22-Jan-16,89.55,89.93,88.48,89.63,5390102
21-Jan-16,88.64,89.93,87.14,88.00,4298740
20-Jan-16,87.69,88.76,84.67,87.94,3666116
19-Jan-16,90.29,91.40,88.37,89.18,3673073
15-Jan-16,86.84,89.35,86.82,89.17,3921494
14-Jan-16,88.92,90.30,87.32,89.80,4052473
13-Jan-16,90.59,91.44,87.99,88.30,3368108
12-Jan-16,89.89,91.03,88.41,89.82,2370481
11-Jan-16,88.07,89.80,87.84,89.38,2362163
8-Jan-16,89.68,89.99,87.63,87.85,2263449
7-Jan-16,89.40,91.40,88.71,89.11,2717802
6-Jan-16,91.10,91.50,90.24,91.02,1673989
5-Jan-16,92.01,92.85,91.41,92.34,1821298
4-Jan-16,91.77,92.00,90.54,91.97,2966912
31-Dec-15,95.07,95.21,93.88,93.94,1453954
30-Dec-15,95.19,96.02,95.00,95.28,1153823
29-Dec-15,94.60,95.90,94.60,95.33,1124878
28-Dec-15,93.79,94.30,93.23,94.20,1027064
24-Dec-15,94.45,95.19,94.03,94.30,602505
23-Dec-15,94.42,94.99,93.53,94.70,1526504
22-Dec-15,91.94,93.95,91.63,93.82,1873594
21-Dec-15,92.16,92.69,90.81,91.62,2663575
18-Dec-15,93.73,93.92,91.30,91.31,5314241
17-Dec-15,95.70,96.42,94.19,94.20,3069671
16-Dec-15,94.41,95.66,93.61,95.56,2613859
15-Dec-15,93.98,95.79,93.72,94.02,4099757
14-Dec-15,91.71,93.31,91.02,93.26,3784050
11-Dec-15,92.51,93.65,90.12,91.42,8315042
10-Dec-15,90.41,90.43,88.51,88.96,4751879
9-Dec-15,91.04,91.79,88.95,89.56,3333572
8-Dec-15,89.22,92.09,88.96,91.72,3372856
7-Dec-15,92.56,92.88,89.22,89.60,3958684
4-Dec-15,90.13,92.82,90.13,92.58,2980839
3-Dec-15,91.97,92.76,89.72,89.91,2425554
2-Dec-15,92.52,92.85,91.68,92.02,1904456
1-Dec-15,92.01,92.58,91.10,92.55,1542796
30-Nov-15,92.41,92.66,91.13,91.46,2168111
27-Nov-15,91.86,92.57,91.77,92.17,632970
25-Nov-15,92.30,92.50,91.70,91.77,1117751
24-Nov-15,91.14,92.22,90.09,92.00,2039608
23-Nov-15,91.82,92.37,91.27,91.96,1570368
20-Nov-15,92.33,92.50,91.22,91.81,2129854
19-Nov-15,91.52,92.13,91.28,91.76,2396945
18-Nov-15,90.31,91.39,89.47,91.27,1430951
17-Nov-15,89.96,91.29,89.87,90.29,1716227
16-Nov-15,89.66,89.80,88.00,89.76,2177784
